"","Gene","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"356","Ost4",1.6150023432132e-285,-0.710823198875447,0.64,0.956,3.56527917287747e-281
"357","Chd9",6.04584432555954e-285,-0.448904200062291,0.261,0.671,1.33468059331052e-280
"358","Chrdl1",6.74236214018335e-285,-0.479744258523952,0.06,0.396,1.48844386606688e-280
"359","Lgals3",2.21256832299942e-284,-0.953000277504763,0.077,0.434,4.88446582985351e-280
"360","Ccpg1",2.55354425634524e-284,-0.382398837624743,0.231,0.62,5.63720430030775e-280
"361","Ormdl3",3.96746024451483e-284,-0.385001962101358,0.197,0.582,8.75856523579093e-280
"362","Ooep",6.85077095792697e-284,-0.612276444207356,0.005,0.237,1.51237619667196e-279
"363","Adamtsl3",7.84140039277018e-284,-0.527723911777539,0.116,0.49,1.73106755070795e-279
"364","Sec61b",3.00461364091325e-283,-0.710811401544654,0.672,0.958,6.63298507368008e-279
"365","Rflnb",3.26074527931361e-283,-0.420956105120157,0.095,0.442,7.19842127861272e-279
"366","Sgcd",4.60605500100729e-283,-0.377984909005697,0.057,0.383,1.01683270202237e-278
"367","March5",5.40648530594756e-283,0.702586906817543,0.656,0.654,1.19353569614098e-278
"368","Tex264",6.44873945411445e-283,-0.269413165136644,0.22,0.569,1.42362372189031e-278
"369","Erlec1",1.53421051914653e-282,-0.383410405710337,0.346,0.747,3.38692314206788e-278
"370","Phldb1",5.02573230483432e-282,-0.576115968887307,0.308,0.739,1.10948066361522e-277
"371","Cox14",3.09677533442075e-281,-0.269365123579462,0.317,0.684,6.83644122826726e-277
"372","Pfkp",3.81320669792415e-281,-0.346086933717381,0.242,0.621,8.41803510633735e-277
"373","Pdlim2",7.30948478832432e-281,-0.696844398664772,0.323,0.758,1.61364186187048e-276
"374","Tshz2",1.32666331364742e-280,0.819964739820692,0.647,0.6,2.92874193120803e-276
"375","Ltbp3",1.78403992788491e-280,-0.594506887619734,0.473,0.885,3.93844654479873e-276
"376","Sec13",2.91359152512055e-280,-0.391585950420463,0.287,0.686,6.43204465085612e-276
"377","Tap1",1.33840351654571e-279,1.0244962311232,0.463,0.154,2.95465960312632e-275
"378","Pltp",1.63786128312162e-279,-0.510445291473501,0.249,0.665,3.61574256861929e-275
"379","Psme1",4.24505406521415e-279,0.737756645120783,0.597,0.499,9.37138135436675e-275
"380","Dnajc25",4.48613920876703e-279,-0.329885087100138,0.272,0.653,9.90360091727409e-275
"381","Mt2",5.68594982147884e-279,1.62188172322802,0.849,0.762,1.25523028258967e-274
"382","Abi3bp",6.40811561639873e-279,-1.28966268899747,0.601,0.913,1.41465560347618e-274
"383","Pfn2",9.04766292373924e-279,-0.379142844601054,0.232,0.618,1.99736206704468e-274
"384","Vamp8",9.8973571916066e-279,-0.449819447039046,0.263,0.67,2.18494057361907e-274
"385","Rab6a",1.10791808207531e-278,0.78673394344357,0.742,0.775,2.44583995798946e-274
"386","C1qtnf12",1.21617108893264e-278,-0.325211996014592,0.051,0.354,2.68481929592769e-274
"387","Cops9",1.27130849059353e-278,-0.273626185323299,0.359,0.732,2.80654062383427e-274
"388","Fam171b",1.53763841673328e-278,-0.352040454905591,0.166,0.526,3.39449056878039e-274
"389","Ankrd28",1.71530688418145e-278,-0.678087511189092,0.261,0.692,3.78671147751896e-274
